id	title	description	link	image_link	availability	price	brand	condition	identifier_exists	google_product_category	shipping
PEPLAB-RETA	RETATRUTIDE 30mg	Retatrutide is a triple agonist peptide targeting GLP-1, GIP, and glucagon receptors. It represents the next generation in metabolic peptides for weight management and metabolic health.	https://peplab.ai/product/reta	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/reta/30mg.png	in_stock	378.75 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-GHK-CU	GHK-CU 50mg	GHK-Cu (Copper Peptide) is a naturally occurring copper complex that supports skin health, wound healing, and tissue regeneration. Known for its anti-aging and regenerative properties.	https://peplab.ai/product/ghk-cu	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/ghk-cu/50mg.png	in_stock	87.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-MOTS-C	MOTS-C 10mg	MOTS-C is a mitochondrial-derived peptide that supports metabolic regulation, exercise capacity, and longevity.	https://peplab.ai/product/mots-c	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/mots-c/10mg.png	in_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-NAD	NAD+ 100mg	NAD+ (Nicotinamide Adenine Dinucleotide) is a coenzyme essential for cellular energy production, DNA repair, and longevity pathways.	https://peplab.ai/product/nad	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/nad/100mg.png	in_stock	81.25 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-CJC-1295-NO-DAC-IPA-5MG	CJC-1295 NO DAC + IPA 10mg	Combination of CJC-1295 (no DAC) and Ipamorelin for synergistic growth hormone release and metabolic support.	https://peplab.ai/product/cjc-1295-no-dac-ipa-5mg	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/cjc-1295-no-dac-ipa-5mg/10mg.png	in_stock	147.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-TESAMORELIN	TESAMORELIN 5mg	Tesamorelin is a growth hormone-releasing hormone (GHRH) analog that stimulates natural GH production and supports body composition.	https://peplab.ai/product/tesamorelin	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/tesamorelin/5mg.png	in_stock	81.25 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-KLOW	KLOW 80mg	KLOW peptide blend targets skin health and rejuvenation, supporting collagen production and overall skin vitality.	https://peplab.ai/product/klow	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/klow/default.png	in_stock	206.25 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-GLOW	GLOW 70mg	GLOW peptide blend is formulated to enhance skin radiance, improve skin texture, and promote a youthful appearance from within.	https://peplab.ai/product/glow	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/glow/default.png	in_stock	178.75 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-TIRZEPATIDE	TIRZEPATIDE 5mg	Tirzepatide is a dual GIP/GLP-1 receptor agonist offering powerful support for weight management and metabolic health.	https://peplab.ai/product/tirzepatide	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/tirzepatide/5mg.png	in_stock	75.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-CAGRILINTIDE	CAGRILINTIDE 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/cagrilintide	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/cagrilintide/10mg.png	in_stock	218.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
